"Year","Lyon at 35th","Lyon near 178th","McAleer at Perkins","McAleer at Animal Acres"
2005,14,24,28,18
2006,16,20,28,28
2007,16,24,26,26
2008,16,16,24,26
2009,22,24,30,24
2010,24,20,30,32
2012,22,28,24,24
2013,26,26,24,30
