Stream,Reach,Num,Box,Date,Sky,T F,,T v,pH,Hv,Mg/l,Dv
Brkside,Cleggs,15.3,,1/27/1996,,40,,AA,7.5,AA,12,AA
Brkside,Beside C,15.4,,1/27/1996,,0
Brkside,Below C,17,,1/27/1996,,41,,AA,7.2,AA,12,AA
Brkside,28 BlwPd,15.1,,7/26/1995,,63,,AA,7.5,AA,10,AA
Brkside,28 BlwCv,15.2,,7/26/1995,,63,,AA,7.5,AA,9,AA
Brkside,Cleggs,15.3,,7/26/1995,,61,,AA,7.5,AA,12,AA
Lyon,35th,2,,7/22/1995,,60,,AA,7.5,AA,10,AA
Lyon,CivicClb,3,,7/22/1995,,60,,AA,7.5,AA,9,A
W-Lyon,Bruggers Bog,4.1,,7/22/1995,,64,,A,7.5,AA,9,A
W-Lyon,Wahlstrm,4.2,,7/22/1995,,70,,B,7.5,AA,10,AA
McAleer,Nile CC,11,,7/22/1995,,58,,AA,7,AA,5,C
McAleer,Perkins,12,,7/22/1995,,0
McAleer,Shrcrst,13,,7/22/1995,,60,,AA,7.5,AA,12,AA
McAleer,BluHerPk,14,,7/22/1995,,58,,AA,7,AA,11,AA
Brkside,Beside C,15.4,,7/22/1995,,0
Brkside,Below C,17,,7/22/1995,,60,,AA,7.5,AA,13,AA
Brkside,Beside C,15.4,,5/1/1995,,52,,AA,7.5,AA,10,AA
Brkside,28 BlwPd,15.1,,4/23/1995,,52,,AA,7.5,AA,10,AA
Brkside,28 BlwCv,15.2,,4/23/1995,,52,,AA,7.5,AA,10,AA
Brkside,Cleggs,15.3,,4/23/1995,,55,,AA,7.5,AA,12,AA
Lyon,Stokes,1,,4/22/1995,,0
Lyon,35th,2,,4/22/1995,,50,,AA,7.7,AA,12,AA
Lyon,CivicClb,3,,4/22/1995,,50,,AA,7.5,AA,11,AA
W-Lyon,Bruggers Bog,4.1,,4/22/1995,,57,,AA,7.5,AA,8,B
W-Lyon,Wahlstrm,4.2,,4/22/1995,,48,,AA,7.5,AA,12,AA
McAleer,Nile CC,11,,4/22/1995,,57,,AA,7,AA,5,C
McAleer,Perkins,12,,4/22/1995,,53,,AA,7.5,AA,11,AA
McAleer,BluHerPk,14,,4/22/1995,,50,,AA,7.5,AA,10,AA
Brkside,Below C,17,,4/22/1995,,50,,AA,7.5,AA,11,AA
Lyon,Stokes,1,,4/22/1995,,0
McAleer,Shrcrst,13,,3/4/1995,,,,AA,7.4,AA,10,AA
Brkside,Below C,17,,1/28/1995,,0,,,7.2,,9
Brkside,28 BlwPd,15.1,,1/23/1995,,45,,AA,7.5,AA,10,AA
Brkside,28 BlwCv,15.2,,1/23/1995,,0
Brkside,Cleggs,15.3,,1/23/1995,,44,,AA,7.5,AA,9,A
Brkside,Beside C,15.4,,1/23/1995,,45,,AA,7.5,AA,12,AA
Lyon,Stokes,1,,1/21/1995,,0
Lyon,35th,2,,1/21/1995,,41,,AA,7,AA,11,AA
Lyon,CivicClb,3,,1/21/1995,,41,,AA,7.7,AA,12,AA
W-Lyon,Bruggers Bog,4.1,,1/21/1995,,44,,AA,7,AA,7,B
W-Lyon,Wahlstrm,4.2,,1/21/1995,,41,,AA,7.5,AA,13,AA
McAleer,Nile CC,11,,1/21/1995,,42,,AA,7,AA,11,AA
McAleer,Perkins,12,,1/21/1995,,44,,AA,7.5,AA,11,AA
McAleer,Shrcrst,13,,1/21/1995,,41,,AA,7.5,AA,11,AA
McAleer,BluHerPk,14,,1/21/1995,,42,,AA,7.25,AA,11,AA
Brkside,28 BlwPd,15.1,,10/8/1994,,50,,AA,7.25,AA,10,AA
Brkside,28 BlwCvt,15.2,,10/8/1994,,50,,AA,7.5,AA,9,AA
Brkside,Cleggs,15.3,,10/8/1994,,50,,AA,7.5,AA,12,AA
McAleer,Perkins,12,,10/7/1994,,0
McAleer,Shrcrst,13,,10/7/1994,,0,,AA,,AA,,AA
Lyon,Stokes,1,,10/1/1994,,60,,AA,7.5,AA,9,A
Lyon,35th,2,,10/1/1994,,59,,AA,7.5,AA,11,AA
Lyon,CivicClb,3,,10/1/1994,,59,,AA,7.5,AA,9,A
W-Lyon,Bruggers Bog,4.1,,10/1/1994,,61,,AA,7.5,AA,7,B
W-Lyon,Wahlstrm,4.2,,10/1/1994,,60,,AA,7.8,AA,10,AA
McAleer,Nile CC,11,,10/1/1994,,62,,A,7,AA,7,B
McAleer,BluHerPk,14,,10/1/1994,,60,,AA,7.5,AA,9,A
Brkside,Beside C,15.4,,10/1/1994,,59,,AA,7.5,AA,9,A
Brkside,Below C,17,,10/1/1994,,59,,AA,7.5,AA,9,A
McAleer,BluHerPk,14,,7/9/1994,,59,,AA,7.5-8,AA,12,AA
Hillside,35th,16,,7/9/1994,,0
Brkside,Below C,17,,7/9/1994,,55,,AA,7.5,AA,11,AA
Lyon,35th,2,,6/3/1994,,60,,AA,7.8,AA,10,AA
Lyon,CivicClb,3,,5/10/1994,,61,,A,7.5,AA,11,AA
McAleer,Nile CC,11,,5/4/1994,,55,,AA,7,AA,8,B
W-Lyon,Bruggers Bog,4.1,,5/3/1994,,54,,AA,7.5,AA,11,AA
McAleer,Shrcrst T,12,,4/1/1994,,0,,AA,7.5,AA,11,AA
McAleer,Shrcrst B,13,,4/1/1994,,0,,AA,7.5,AA,11,AA
Lyon,35th,2,,1/17/1994,,45,,AA,7.5,AA,12,AA
W-Lyon,Bruggers Bog,4.1,,1/17/1994,,48,,AA,7.5,AA,11,AA
W-Lyon,Wahlstrm,4.2,,1/17/1994,,45,,AA,7.5,AA,12,AA
McAleer,Nile CC,11,,1/17/1994,,45,,AA,7,AA,10,AA
Lyon ,CivicClb,3,,1/11/1994,,46,,AA,7.6,AA,8,B
McAleer,185th,12,,1/11/1994,,46,,AA,7.5,AA,12,AA
McAleer,33rd,13,,1/11/1994,,0
McAleer,BluHrPk,14,,1/11/1994,,0
Hillside,35th,16,,1/11/1994,,0
Hillside,35th,16,,1/11/1994,,0
Brkside,Below C,17,,1/11/1994,,47,,AA,7.5,AA,10,AA
W-Lyon,Bruggers Bog,4.1,,9/7/1993,,65,,B,7.5,AA,10,AA
W-Lyon,Wahlstrm,4.2,,9/7/1993,,67,,B,7.5,AA,3,D
McAleer,185th,12,,9/7/1993,,64,,A,7.5,AA,10,AA
McAleer,BluHrPk,14,,9/7/1993,,65,,B,7.5,AA,9,A
Lyon,Stokes,1,,9/2/1993,,63,,A,8,AA,9,A
Lyon,CivicClb,3,,9/2/1993,,63,,A,7.5,AA,10,AA
McAleer,Nile CC,11,,9/2/1993,,60,,AA,7,AA,3,D
Hillside,35th,16,,9/2/1993,,0
Brkside,Below C,17,,9/2/1993,,60,,AA,7.5,AA,7,B
Lyon,CivicClb,3,,1/1/1993,,55,,AA,7.2,AA,10.5,AA
